Date,Day,Bus no.,Arrival time,Arrival location,Passengers onboarded,Passengers left,,,,,
4/18/2018,Wed,a-4,12:00:00 PM,Thapathali,5,7,,,,,
4/18/2018,Wed,a-4,12:10:00 PM,Tripureshwor,1,4,,,,,
4/18/2018,Wed,a-4,12:20:00 PM,NAC,10,6,,,,,
4/18/2018,Wed,a-4,12:30:00 PM,Jamal,0,8,,,,,
4/18/2018,Wed,a-4,12:55:00 PM,Lazimpat,10,9,,,,,
4/18/2018,Wed,a-4,1:05:00 PM,Panipokhari,8,10,,,,,
4/18/2018,Wed,a-4,1:10:00 PM,Teaching,7,0,,,,,
4/18/2018,Wed,a-4,1:20:00 PM,Narayan Gopal Chowk,7,1,,,,,
4/18/2018,Wed,a-4,1:35:00 PM,Samakhusi,3,5,,,,,
4/18/2018,Wed,a-4,1:40:00 PM,Gongabu,3,10,,,,,
4/18/2018,Wed,a-4,1:45:00 PM,New Buspark,8,8,,,,,
4/18/2018,Wed,a-5,12:00:00 PM,Lagankhel,1,8,,,,,
4/18/2018,Wed,a-5,12:10:00 PM,Jawalakhel,6,4,,,,,
4/18/2018,Wed,a-5,12:15:00 PM,Pulchowk,6,0,,,,,
4/18/2018,Wed,a-5,12:25:00 PM,Kupandole,9,0,,,,,
4/18/2018,Wed,a-5,12:30:00 PM,Thapathali,6,4,,,,,
4/18/2018,Wed,a-5,12:40:00 PM,Tripureshwor,8,8,,,,,
4/18/2018,Wed,a-5,12:50:00 PM,NAC,3,2,,,,,
4/18/2018,Wed,a-5,1:10:00 PM,Jamal,2,10,,,,,
4/18/2018,Wed,a-5,1:30:00 PM,Lazimpat,1,1,,,,,
4/18/2018,Wed,a-5,1:40:00 PM,Panipokhari,0,3,,,,,
4/18/2018,Wed,a-5,1:50:00 PM,Teaching,0,10,,,,,
4/18/2018,Wed,a-5,2:00:00 PM,Narayan Gopal Chowk,0,8,,,,,
4/18/2018,Wed,a-5,2:15:00 PM,Samakhusi,7,7,,,,,
4/18/2018,Wed,a-5,2:20:00 PM,Gongabu,7,7,,,,,
4/18/2018,Wed,a-5,2:25:00 PM,New Buspark,9,4,,,,,
4/19/2018,Thu,a-1,9:00:00 AM,Lagankhel,8,6,,,,,
4/19/2018,Thu,a-1,9:10:00 AM,Jawalakhel,5,4,,,,,
4/19/2018,Thu,a-1,9:15:00 AM,Pulchowk,3,1,,,,,
4/19/2018,Thu,a-1,9:30:00 AM,Kupandole,4,9,,,,,
4/19/2018,Thu,a-1,9:35:00 AM,Thapathali,10,7,,,,,
4/19/2018,Thu,a-1,9:45:00 AM,Tripureshwor,2,10,,,,,
4/19/2018,Thu,a-1,10:00:00 AM,NAC,6,0,,,,,
4/19/2018,Thu,a-1,10:20:00 AM,Jamal,9,4,,,,,
4/19/2018,Thu,a-1,10:40:00 AM,Lazimpat,3,1,,,,,
4/19/2018,Thu,a-1,10:50:00 AM,Panipokhari,7,0,,,,,
4/19/2018,Thu,a-1,10:55:00 AM,Teaching,3,9,,,,,
4/19/2018,Thu,a-1,11:05:00 AM,Narayan Gopal Chowk,5,3,,,,,
4/19/2018,Thu,a-1,11:25:00 AM,Samakhusi,6,9,,,,,
4/19/2018,Thu,a-1,11:30:00 AM,Gongabu,5,2,,,,,
4/19/2018,Thu,a-1,11:35:00 AM,New Buspark,10,8,,,,,
4/19/2018,Thu,a-2,9:45:00 AM,Lagankhel,7,9,,,,,
4/19/2018,Thu,a-2,10:00:00 AM,Jawalakhel,3,7,,,,,
4/19/2018,Thu,a-2,10:15:00 AM,Pulchowk,4,8,,,,,
4/19/2018,Thu,a-2,10:35:00 AM,Kupandole,6,4,,,,,
4/19/2018,Thu,a-2,10:45:00 AM,Thapathali,4,9,,,,,
4/19/2018,Thu,a-2,10:55:00 AM,Tripureshwor,6,0,,,,,
4/19/2018,Thu,a-2,11:15:00 AM,NAC,10,6,,,,,
4/19/2018,Thu,a-2,11:35:00 AM,Jamal,5,5,,,,,
4/19/2018,Thu,a-2,11:50:00 AM,Lazimpat,4,6,,,,,
4/19/2018,Thu,a-2,12:00:00 PM,Panipokhari,4,5,,,,,
4/19/2018,Thu,a-2,12:05:00 PM,Teaching,8,10,,,,,
4/19/2018,Thu,a-2,12:20:00 PM,Narayan Gopal Chowk,6,2,,,,,
4/19/2018,Thu,a-2,12:45:00 PM,Samakhusi,7,4,,,,,
4/19/2018,Thu,a-2,12:55:00 PM,Gongabu,5,7,,,,,
4/19/2018,Thu,a-2,1:00:00 PM,New Buspark,1,9,,,,,
4/19/2018,Thu,a-3,10:30:00 AM,Lagankhel,10,7,,,,,
4/19/2018,Thu,a-3,10:50:00 AM,Jawalakhel,6,4,,,,,
4/19/2018,Thu,a-3,11:05:00 AM,Pulchowk,3,0,,,,,
4/19/2018,Thu,a-3,11:25:00 AM,Kupandole,8,10,,,,,
4/19/2018,Thu,a-3,11:35:00 AM,Thapathali,6,0,,,,,
4/19/2018,Thu,a-3,11:45:00 AM,Tripureshwor,4,9,,,,,
4/19/2018,Thu,a-3,12:05:00 PM,NAC,6,10,,,,,
4/19/2018,Thu,a-3,12:25:00 PM,Jamal,3,0,,,,,
4/19/2018,Thu,a-3,12:45:00 PM,Lazimpat,10,3,,,,,
4/19/2018,Thu,a-3,12:55:00 PM,Panipokhari,3,8,,,,,
4/19/2018,Thu,a-3,1:00:00 PM,Teaching,10,7,,,,,
4/19/2018,Thu,a-3,1:10:00 PM,Narayan Gopal Chowk,10,7,,,,,
4/19/2018,Thu,a-3,1:30:00 PM,Samakhusi,8,8,,,,,
4/19/2018,Thu,a-3,1:35:00 PM,Gongabu,10,5,,,,,
4/19/2018,Thu,a-3,1:40:00 PM,New Buspark,1,4,,,,,
4/19/2018,Thu,a-4,11:15:00 AM,Lagankhel,10,4,,,,,
4/19/2018,Thu,a-4,11:30:00 AM,Jawalakhel,7,10,,,,,
4/19/2018,Thu,a-4,11:35:00 AM,Pulchowk,2,4,,,,,
4/19/2018,Thu,a-4,11:50:00 AM,Kupandole,1,5,,,,,
4/19/2018,Thu,a-4,12:00:00 PM,Thapathali,8,2,,,,,
4/19/2018,Thu,a-4,12:10:00 PM,Tripureshwor,1,8,,,,,
4/19/2018,Thu,a-4,12:20:00 PM,NAC,5,1,,,,,
4/19/2018,Thu,a-4,12:30:00 PM,Jamal,6,6,,,,,
4/19/2018,Thu,a-4,12:55:00 PM,Lazimpat,6,8,,,,,
4/19/2018,Thu,a-4,1:05:00 PM,Panipokhari,6,0,,,,,
4/19/2018,Thu,a-4,1:10:00 PM,Teaching,0,9,,,,,
4/19/2018,Thu,a-4,1:20:00 PM,Narayan Gopal Chowk,2,7,,,,,
4/19/2018,Thu,a-4,1:35:00 PM,Samakhusi,0,2,,,,,
4/19/2018,Thu,a-4,1:40:00 PM,Gongabu,2,5,,,,,
4/19/2018,Thu,a-4,1:45:00 PM,New Buspark,4,9,,,,,
4/19/2018,Thu,a-5,12:00:00 PM,Lagankhel,3,9,,,,,
4/19/2018,Thu,a-5,12:10:00 PM,Jawalakhel,2,8,,,,,
4/19/2018,Thu,a-5,12:15:00 PM,Pulchowk,4,10,,,,,
4/19/2018,Thu,a-5,12:25:00 PM,Kupandole,6,10,,,,,
4/19/2018,Thu,a-5,12:30:00 PM,Thapathali,2,5,,,,,
4/19/2018,Thu,a-5,12:40:00 PM,Tripureshwor,7,7,,,,,
4/19/2018,Thu,a-5,12:50:00 PM,NAC,9,10,,,,,
4/19/2018,Thu,a-5,1:10:00 PM,Jamal,4,0,,,,,
4/19/2018,Thu,a-5,1:30:00 PM,Lazimpat,5,4,,,,,
4/19/2018,Thu,a-5,1:40:00 PM,Panipokhari,3,10,,,,,
4/19/2018,Thu,a-5,1:50:00 PM,Teaching,2,2,,,,,
4/19/2018,Thu,a-5,2:00:00 PM,Narayan Gopal Chowk,7,7,,,,,
4/19/2018,Thu,a-5,2:15:00 PM,Samakhusi,4,5,,,,,
4/19/2018,Thu,a-5,2:20:00 PM,Gongabu,8,9,,,,,
4/19/2018,Thu,a-5,2:25:00 PM,New Buspark,4,5,,,,,
4/20/2018,Fri,a-1,9:00:00 AM,Lagankhel,8,9,,,,,
4/20/2018,Fri,a-1,9:10:00 AM,Jawalakhel,2,4,,,,,
4/20/2018,Fri,a-1,9:15:00 AM,Pulchowk,10,2,,,,,
4/20/2018,Fri,a-1,9:30:00 AM,Kupandole,5,7,,,,,
4/20/2018,Fri,a-1,9:35:00 AM,Thapathali,10,2,,,,,
4/20/2018,Fri,a-1,9:45:00 AM,Tripureshwor,2,10,,,,,
4/20/2018,Fri,a-1,10:00:00 AM,NAC,6,9,,,,,
4/20/2018,Fri,a-1,10:20:00 AM,Jamal,4,9,,,,,
4/20/2018,Fri,a-1,10:40:00 AM,Lazimpat,8,6,,,,,
4/20/2018,Fri,a-1,10:50:00 AM,Panipokhari,1,8,,,,,
4/20/2018,Fri,a-1,10:55:00 AM,Teaching,7,9,,,,,
4/20/2018,Fri,a-1,11:05:00 AM,Narayan Gopal Chowk,9,1,,,,,
4/20/2018,Fri,a-1,11:25:00 AM,Samakhusi,5,10,,,,,
4/20/2018,Fri,a-1,11:30:00 AM,Gongabu,1,7,,,,,
4/20/2018,Fri,a-1,11:35:00 AM,New Buspark,1,8,,,,,
4/20/2018,Fri,a-2,9:45:00 AM,Lagankhel,6,9,,,,,
4/20/2018,Fri,a-2,10:00:00 AM,Jawalakhel,0,3,,,,,
4/20/2018,Fri,a-2,10:15:00 AM,Pulchowk,4,5,,,,,
4/20/2018,Fri,a-2,10:35:00 AM,Kupandole,6,4,,,,,
4/20/2018,Fri,a-2,10:45:00 AM,Thapathali,7,8,,,,,
4/20/2018,Fri,a-2,10:55:00 AM,Tripureshwor,0,0,,,,,
4/20/2018,Fri,a-2,11:15:00 AM,NAC,2,3,,,,,
4/20/2018,Fri,a-2,11:35:00 AM,Jamal,2,10,,,,,
4/20/2018,Fri,a-2,11:50:00 AM,Lazimpat,10,0,,,,,
4/20/2018,Fri,a-2,12:00:00 PM,Panipokhari,9,8,,,,,
4/20/2018,Fri,a-2,12:05:00 PM,Teaching,0,7,,,,,
4/20/2018,Fri,a-2,12:20:00 PM,Narayan Gopal Chowk,10,5,,,,,
4/20/2018,Fri,a-2,12:45:00 PM,Samakhusi,9,9,,,,,
4/20/2018,Fri,a-2,12:55:00 PM,Gongabu,10,0,,,,,
4/20/2018,Fri,a-2,1:00:00 PM,New Buspark,0,4,,,,,
4/20/2018,Fri,a-3,10:30:00 AM,Lagankhel,5,5,,,,,
4/20/2018,Fri,a-3,10:50:00 AM,Jawalakhel,3,0,,,,,
4/20/2018,Fri,a-3,11:05:00 AM,Pulchowk,7,6,,,,,
4/20/2018,Fri,a-3,11:25:00 AM,Kupandole,3,9,,,,,
4/20/2018,Fri,a-3,11:35:00 AM,Thapathali,0,1,,,,,
4/20/2018,Fri,a-3,11:45:00 AM,Tripureshwor,3,9,,,,,
4/20/2018,Fri,a-3,12:05:00 PM,NAC,6,0,,,,,
4/20/2018,Fri,a-3,12:25:00 PM,Jamal,7,4,,,,,
4/20/2018,Fri,a-3,12:45:00 PM,Lazimpat,4,5,,,,,
4/20/2018,Fri,a-3,12:55:00 PM,Panipokhari,9,7,,,,,
4/20/2018,Fri,a-3,1:00:00 PM,Teaching,6,4,,,,,
4/20/2018,Fri,a-3,1:10:00 PM,Narayan Gopal Chowk,9,8,,,,,
4/20/2018,Fri,a-3,1:30:00 PM,Samakhusi,1,0,,,,,
4/20/2018,Fri,a-3,1:35:00 PM,Gongabu,6,2,,,,,
4/20/2018,Fri,a-3,1:40:00 PM,New Buspark,10,6,,,,,
4/20/2018,Fri,a-4,11:15:00 AM,Lagankhel,8,10,,,,,
4/20/2018,Fri,a-4,11:30:00 AM,Jawalakhel,3,1,,,,,
4/20/2018,Fri,a-4,11:35:00 AM,Pulchowk,3,4,,,,,
4/20/2018,Fri,a-4,11:50:00 AM,Kupandole,9,3,,,,,
4/20/2018,Fri,a-4,12:00:00 PM,Thapathali,7,6,,,,,
4/20/2018,Fri,a-4,12:10:00 PM,Tripureshwor,0,3,,,,,
4/20/2018,Fri,a-4,12:20:00 PM,NAC,0,6,,,,,
4/20/2018,Fri,a-4,12:30:00 PM,Jamal,1,9,,,,,
4/20/2018,Fri,a-4,12:55:00 PM,Lazimpat,7,10,,,,,
4/20/2018,Fri,a-4,1:05:00 PM,Panipokhari,9,10,,,,,
4/20/2018,Fri,a-4,1:10:00 PM,Teaching,8,6,,,,,
4/20/2018,Fri,a-4,1:20:00 PM,Narayan Gopal Chowk,2,3,,,,,
4/20/2018,Fri,a-4,1:35:00 PM,Samakhusi,2,5,,,,,
4/20/2018,Fri,a-4,1:40:00 PM,Gongabu,9,5,,,,,
4/20/2018,Fri,a-4,1:45:00 PM,New Buspark,5,2,,,,,
4/20/2018,Fri,a-5,12:00:00 PM,Lagankhel,3,6,,,,,
4/20/2018,Fri,a-5,12:10:00 PM,Jawalakhel,1,2,,,,,
4/20/2018,Fri,a-5,12:15:00 PM,Pulchowk,1,1,,,,,
4/20/2018,Fri,a-5,12:25:00 PM,Kupandole,1,9,,,,,
4/20/2018,Fri,a-5,12:30:00 PM,Thapathali,1,7,,,,,
4/20/2018,Fri,a-5,12:40:00 PM,Tripureshwor,5,8,,,,,
4/20/2018,Fri,a-5,12:50:00 PM,NAC,1,5,,,,,
4/20/2018,Fri,a-5,1:10:00 PM,Jamal,10,1,,,,,
4/20/2018,Fri,a-5,1:30:00 PM,Lazimpat,6,3,,,,,
4/20/2018,Fri,a-5,1:40:00 PM,Panipokhari,6,7,,,,,
4/20/2018,Fri,a-5,1:50:00 PM,Teaching,6,7,,,,,
4/20/2018,Fri,a-5,2:00:00 PM,Narayan Gopal Chowk,2,8,,,,,
4/20/2018,Fri,a-5,2:15:00 PM,Samakhusi,6,5,,,,,
4/20/2018,Fri,a-5,2:20:00 PM,Gongabu,6,5,,,,,
4/20/2018,Fri,a-5,2:25:00 PM,New Buspark,0,16,,,,,
,,,,,,,,,,2693,2693
